code,strategy,first_buy,closed_at,realized_pnl,qty,buy_avg,sell_avg,ret_pct,a,b,hold_td,mkt,lvb_top20,lvb_rank,lvb_n,exc_mkt,vs_top20,m
010140,저변동,09-01,09-04,600,12,20800,20850,0.2,20260901,20260904,3,-1.139700175198921,-1.1324300831789944,3.0,81.0,1.339700175198921,1.3324300831789944,09
042700,공매도,09-01,09-04,9000,1,213000,222000,4.2,20260901,20260904,3,-1.139700175198921,-1.1324300831789944,,,5.339700175198921,5.332430083178995,09
030000,공매도,09-01,09-04,-3640,13,19170,18890,-1.5,20260901,20260904,3,-1.139700175198921,-1.1324300831789944,,,-0.3602998248010789,-0.3675699168210056,09
383220,저변동,08-12,09-03,-2600,5,66520,66000,-0.8,20260812,20260903,15,-3.9118767186735237,-0.8826870192766786,2.0,10.0,3.111876718673524,0.08268701927667854,09
249420,저변동,07-01,09-02,8700,19,16502,16960,2.8,20260701,20260902,43,-3.2924011388965946,8.095193190269226,18.0,52.0,6.092401138896594,-5.295193190269226,09
950190,저변동,08-18,09-01,41100,30,8560,9930,16.0,20260818,20260901,10,0.6905098156444245,-3.562926431540414,4.0,7.0,15.309490184355575,19.562926431540415,09
039200,저변동,07-01,08-31,13800,13,34673,35735,3.1,20260701,20260831,41,-0.7948140427570749,10.494416028083705,19.0,288.0,3.894814042757075,-7.394416028083706,08
462870,저변동,08-05,08-31,-1400,7,32500,32300,-0.6,20260805,20260831,17,5.025340346677254,5.142588436103148,,,-5.625340346677254,-5.742588436103148,08
005690,저변동,08-07,08-31,-6960,24,11200,10910,-2.6,20260807,20260831,15,5.049555302827891,2.213661251191728,,,-7.64955530282789,-4.8136612511917285,08
011200,스윙,08-13,08-26,7800,13,21100,21700,2.8,20260813,20260826,8,-2.1508600865756566,-4.401375160488367,,,4.9508600865756565,7.201375160488367,08
003690,스윙,08-12,08-20,1950,15,14370,14500,0.9,20260812,20260820,5,-2.433727793881302,-1.2166881060962134,,,3.3337277938813017,2.1166881060962135,08
272210,저변동,06-30,08-19,26200,6,71867,76233,6.1,20260630,20260819,34,-1.0422313044671005,6.038498115092635,34.0,51.0,7.1422313044671,0.06150188490736497,08
030200,저변동,07-31,08-14,8000,5,52000,53600,3.1,20260731,20260814,10,17.479440411287726,8.599989206085686,6.0,124.0,-14.379440411287726,-5.4999892060856865,08
058470,저변동,08-06,08-14,17200,4,67200,71500,6.4,20260806,20260814,6,7.195954598776244,5.808776813619996,4.0,85.0,-0.7959545987762437,0.5912231863800042,08
140860,저변동,08-06,08-14,31000,1,252000,283000,12.3,20260806,20260814,6,7.195954598776244,5.808776813619996,,,5.104045401223757,6.4912231863800045,08
114090,저변동,08-06,08-13,3900,30,9240,9370,1.4,20260806,20260813,5,6.084179118429001,5.021818879733524,,,-4.684179118429,-3.621818879733524,08
037270,저변동,08-04,08-12,15180,44,3235,3580,10.7,20260804,20260812,6,9.284282446026971,8.119555689078648,,,1.4157175539730282,2.580444310921351,08
083650,저변동,06-30,08-12,3000,6,53467,53967,0.9,20260630,20260812,30,2.5838972762468604,11.15876711805606,131.0,294.0,-1.6838972762468605,-10.25876711805606,08
006280,스윙,06-18,08-12,12200,4,126750,129800,2.4,20260618,20260812,38,-7.957125277354704,9.17190250392475,98.0,130.0,10.357125277354704,-6.77190250392475,08
103590,저변동,06-30,08-12,3200,5,71700,72340,0.9,20260630,20260812,30,2.5838972762468604,11.15876711805606,21.0,51.0,-1.6838972762468605,-10.25876711805606,08
017800,저변동,07-08,08-11,3000,3,71100,72100,1.4,20260708,20260811,23,10.081622264824208,8.014639170275036,1.0,156.0,-8.681622264824208,-6.614639170275035,08
443060,저변동,07-09,08-11,3100,1,199900,203000,1.6,20260709,20260811,22,10.159595273146982,10.795904770106226,32.0,129.0,-8.559595273146982,-9.195904770106226,08
003550,모멘텀,07-13,08-10,5600,1,100700,106300,5.6,20260713,20260810,19,7.829660175744113,7.580497481389519,48.0,150.0,-2.2296601757441135,-1.980497481389519,08
035720,모멘텀,07-07,08-06,20100,6,34550,37900,9.7,20260707,20260806,21,0.006022373855496532,5.628393005979245,76.0,174.0,9.693977626144502,4.071606994020755,08
326030,저변동,07-22,08-06,7200,3,78300,80700,3.1,20260722,20260806,11,6.2710488240253826,7.557905890278543,14.0,130.0,-3.1710488240253825,-4.457905890278543,08
